Series Name,Series Code,Country Name,Country Code,NY.GDP.PCAP.CD
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,2082.635648
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,13546.48169
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,11921.72533
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,7099.971958
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,21535.33089
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,23305.84742
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,13020.39632
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,50252.84046
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,57050.35135
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,14550.8204
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,37908.83814
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,47309.70955
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,4547.479572
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,16051.25581
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,19338.66644
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,52662.53293
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,7436.226422
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,3236.670417
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,83377.06467
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,11620.9159
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,8863.349174
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,14916.79438
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,18058.06096
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,15020.43822
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,61839.11757
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,22911.29835
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,2171.238997
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,779.8081757
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cabo Verde,CPV,7028.993091
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cambodia,KHM,4259.203119
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cameroon,CMR,3690.068789
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Canada,CAN,50239.99105
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,73507.56952
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,955.5137443
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,1614.168287
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,24740.49615
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,15608.96707
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,14865.89324
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,3140.472044
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,1111.96579
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,4027.866356
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,20994.39576
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,5154.331702
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,28554.3891
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,25656.45853
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,40476.38627
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,41134.08988
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,57462.77601
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,5339.261075
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,11814.02072
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominican Republic,DOM,18137.0524
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ecuador,ECU,11839.34324
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Egypt, Arab Rep.",EGY,11639.23909
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,El Salvador,SLV,8820.838904
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Equatorial Guinea,GNQ,20875.47821
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eritrea,ERI,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,36326.79823
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eswatini,SWZ,8725.1702
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ethiopia,ETH,2154.020877
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Faroe Islands,FRO,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fiji,FJI,14178.60249
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,49755.13952
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,France,FRA,46569.01975
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,French Polynesia,PYF,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gabon,GAB,15098.44541
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Gambia, The",GMB,2209.892593
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Georgia,GEO,14595.63064
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Germany,DEU,54954.84675
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ghana,GHA,5302.204005
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gibraltar,GIB,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greece,GRC,29680.94183
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greenland,GRL,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Grenada,GRD,17205.36701
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guam,GUM,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guatemala,GTM,8665.347261
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea,GIN,2559.724766
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea-Bissau,GNB,1947.59676
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guyana,GUY,12777.16097
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Haiti,HTI,3064.155219
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Honduras,HND,5816.747324
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Hong Kong SAR, China",HKG,62529.05749
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Hungary,HUN,31831.98114
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iceland,ISL,58222.33806
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,India,IND,6675.361294
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Indonesia,IDN,11644.75854
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Iran, Islamic Rep.",IRN,13795.31747
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iraq,IRQ,10594.62358
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ireland,IRL,84910.55245
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Isle of Man,IMN,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Israel,ISR,40343.09695
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Italy,ITA,43123.60575
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Jamaica,JAM,9968.594493
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Japan,JPN,41695.63794
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Jordan,JOR,10253.81745
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kazakhstan,KAZ,26157.65965
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kenya,KEN,4304.771636
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kiribati,KIR,2308.178768
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Korea, Dem. People's Rep.",PRK,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Korea, Rep.",KOR,42487.04195
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kosovo,XKX,11156.63195
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kuwait,KWT,51690.56886
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kyrgyz Republic,KGZ,5256.397923
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lao PDR,LAO,7775.131876
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latvia,LVA,30799.42842
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lebanon,LBN,15962.42148
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lesotho,LSO,2677.436314
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Liberia,LBR,1532.947589
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Libya,LBY,15378.57276
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Liechtenstein,LIE,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lithuania,LTU,36346.39753
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Luxembourg,LUX,116644.8481
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Macao SAR, China",MAC,135596.1053
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Madagascar,MDG,1630.278464
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Malawi,MWI,1506.356575
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Malaysia,MYS,28219.80261
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Maldives,MDV,19246.80748
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mali,MLI,2338.533676
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Malta,MLT,44482.23968
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Marshall Islands,MHL,3898.087626
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mauritania,MRT,5163.499019
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mauritius,MUS,22741.35132
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mexico,MEX,20257.82609
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Micronesia, Fed. Sts.",FSM,3544.00482
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Moldova,MDA,12659.98366
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Monaco,MCO,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mongolia,MNG,12201.64701
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Montenegro,MNE,21547.28716
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Morocco,MAR,7625.735753
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mozambique,MOZ,1320.702265
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Myanmar,MMR,5149.937942
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Namibia,NAM,10334.57205
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nauru,NRU,13963.76739
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nepal,NPL,3864.322124
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Netherlands,NLD,57901.09701
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,New Caledonia,NCL,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,New Zealand,NZL,43930.88142
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nicaragua,NIC,5867.256956
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Niger,NER,1229.807586
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nigeria,NGA,5278.848395
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,North Macedonia,MKD,16671.69859
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Northern Mariana Islands,MNP,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Norway,NOR,69710.48451
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Oman,OMN,29031.64433
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Pakistan,PAK,4853.266557
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Palau,PLW,18887.15211
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Panama,PAN,31757.56114
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Papua New Guinea,PNG,4290.698282
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Paraguay,PRY,13135.69887
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Peru,PER,13088.29584
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Philippines,PHL,8720.607379
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Poland,POL,31978.53115
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Portugal,PRT,34931.7846
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Puerto Rico,PRI,35122.87966
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Qatar,QAT,93154.23488
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Romania,ROU,29248.80932
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Russian Federation,RUS,28681.78446
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Rwanda,RWA,2138.899699
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Samoa,WSM,6467.074853
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,San Marino,SMR,61006.8482
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sao Tome and Principe,STP,4089.156666
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Saudi Arabia,SAU,48735.4605
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Senegal,SEN,3388.946311
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Serbia,SRB,17736.0068
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Seychelles,SYC,27998.64179
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sierra Leone,SLE,1703.228843
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Singapore,SGP,100581.158
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sint Maarten (Dutch part),SXM,36190.66391
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Slovak Republic,SVK,31505.06263
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Slovenia,SVN,38915.64196
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Solomon Islands,SLB,2762.416412
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Somalia,SOM,887.5761733
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,South Africa,ZAF,12931.12276
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,South Sudan,SSD,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Spain,ESP,40720.1908
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sri Lanka,LKA,13169.0947
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,St. Kitts and Nevis,KNA,26523.52663
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,St. Lucia,LCA,15627.78683
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,St. Martin (French part),MAF,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,St. Vincent and the Grenadines,VCT,12765.73243
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sudan,SDN,4448.841229
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Suriname,SUR,19461.97652
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sweden,SWE,53553.31245
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Switzerland,CHE,71705.60997
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Syrian Arab Republic,SYR,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Tajikistan,TJK,3497.32358
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Tanzania,TZA,2652.391378
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Thailand,THA,18530.21179
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Timor-Leste,TLS,3124.938092
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Togo,TGO,2110.82642
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Tonga,TON,6565.223215
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Trinidad and Tobago,TTO,26880.63872
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Tunisia,TUN,11022.1649
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Turkey,TUR,27942.95583
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Turkmenistan,TKM,15201.77857
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Turks and Caicos Islands,TCA,28837.02692
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Tuvalu,TUV,4040.295911
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Uganda,UGA,2172.915867
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ukraine,UKR,12634.23555
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United Arab Emirates,ARE,68576.11552
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United Kingdom,GBR,47145.8841
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United States,USA,63064.41841
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Uruguay,URY,23588.15139
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Uzbekistan,UZB,6917.678796
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Vanuatu,VUT,3167.734975
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Venezuela, RB",VEN,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Vietnam,VNM,7768.080218
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Virgin Islands (U.S.),VIR,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,West Bank and Gaza,PSE,6469.909098
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Yemen, Rep.",YEM,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Zambia,ZMB,3606.093623
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Zimbabwe,ZWE,3421.898173
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Africa Eastern and Southern,AFE,3639.14338
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Africa Western and Central,AFW,4214.041835
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Arab World,ARB,14978.34574
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Caribbean small states,CSS,16350.95174
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central Europe and the Baltics,CEB,31905.94858
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Early-demographic dividend,EAR,9422.781919
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,East Asia & Pacific,EAS,17429.07294
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,East Asia & Pacific (excluding high income),EAP,14055.72313
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,14203.50754
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Euro area,EMU,47519.65975
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Europe & Central Asia,ECS,35667.36013
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Europe & Central Asia (excluding high income),ECA,22479.50295
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,23319.50588
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,European Union,EUU,44613.93632
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fragile and conflict affected situations,FCS,4717.157352
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Heavily indebted poor countries (HIPC),HPC,2600.689798
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,High income,HIC,50811.58329
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IBRD only,IBD,13346.00806
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IDA & IBRD total,IBT,10921.10776
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IDA blend,IDB,4991.623194
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IDA only,IDX,3335.398247
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,IDA total,IDA,3884.86154
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Late-demographic dividend,LTE,17240.69934
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latin America & Caribbean,LCN,16585.7889
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latin America & Caribbean (excluding high income),LAC,15851.2147
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,16529.05345
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Least developed countries: UN classification,LDC,3030.121962
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Low & middle income,LMY,10645.19511
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Low income,LIC,2438.361482
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lower middle income,LMC,7121.204829
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Middle East & North Africa,MEA,16848.68666
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Middle East & North Africa (excluding high income),MNA,11014.39661
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,11068.65799
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Middle income,MIC,11564.61979
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,North America,NAC,61761.99008
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Not classified,INX,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,OECD members,OED,44995.29763
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Other small states,OSS,23269.35417
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Pacific island small states,PSS,7588.078269
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Post-demographic dividend,PST,49493.39309
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Pre-demographic dividend,PRE,3586.869781
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Small states,SST,21062.64528
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,South Asia,SAS,6218.554193
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,South Asia (IDA & IBRD),TSA,6218.554193
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sub-Saharan Africa,SSF,3871.540978
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sub-Saharan Africa (excluding high income),SSA,3869.376276
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,3871.540978
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Upper middle income,UMC,17343.81724
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,World,WLD,17051.15716
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 07/30/2021,,,,
